ccn,ceo,company_name,description,founded_in,headquarters,nob,ownership,ratings,toc
,,Wonderla Holidays,"Wonderla Holidays Limited is engaged in the business of amusement parks and resorts. The Company's segments include Amusement park, Resort and Others. The Company operates approximately three amusement parks in Kochi, Bangalore and Hyderabad under the brand name Wonderla.",2000,"Bangalore/Bengaluru, Karnataka, India",B2C,Public,4.5,Corporate
,,Rswm,"As a leader in the domestic and international textile industry, our innovative mindset and visionary approach has blessed us with associations across the globe.Founded by L.N. Jhunjhunwala in 1961, LNJ Bhilwara Group has emerged as a diversified conglomerate with holdings in textiles, graphite electrodes, power generation, power engineering and information technology services. With more than 20 production units, all strategically located in India, the US$1-billion group of companies employs over 25,000 people.
We began as a small textile mill in Bhilwara and have become a leader in the domestic and international textile industry transforming Bhilwara into one of the most important textile hubs in India.
LNJ Bhilwara Group’s success is based on the union of traditional values and an inherent sense of self-reliance and adaptability.
We understand our customers’ and our planet's needs all the same. To do our best, we constantly execute strategies to produce high-quality yarns and, at the same time, reduce our carbon footprint. We're proud to produce a natural and beautiful array of hues, textures, blends and various other concoctions when it comes to yarn.",1961,"Noida, India",,Public,4.0,
,,Fexprime Finance,"Bussan Auto Finance India Pvt. Ltd. (hereinafter referred to as BAF India) is a Non Banking Finance Company under Sec. 45-IA of the Reserve Bank of India Act, 1934, established with a view to finance Yamaha Two Wheeler Vehicles across India. BAF India is a Joint Venture of Mitsui & Co., Ltd and Yamaha Co .,Ltd. BAF India is established with a view to enrich the lifestyle of Indian society through customer-friendly and quality financial services and to become the most preferred financier for customers and dealers of Yamaha two wheelers across India setting a benchmark in the industry.",1934,"New Delhi, India",B2C,Private,4.5,
,,Flipkart Health+,"SastaSundar.com is an Innovative Information and Knowledge based web portal that helps people on their path to wellness. We are focused on extending our services to our valuable users with an honest and trustworthy approach, providing them information and knowledge about medicines and healthcare products.

SastaSundar.Com acts as bridge between users and the Independent Licensed Chemists and enable users to place their enquiry/indent. SastaSundar.com is supported by a network of Independent Licensed Chemists (sellers). All communications on SastaSundar.com are being forwarded to the said Independent Licensed Chemists. On confirmation of the same, the orders are fulfilled by the said Independent Licensed Chemist and delivered to users by the said Independent Licensed Chemist. The communication on SastaSundar.com are only in the form of enquiry and indent and are subject to conformity by the said Independent Licensed Chemists.",2013,,,Private,3.7,Startup
,Kamal Syal,Gujarat Ambuja Exports,"Gujarat Ambuja Exports Limited (GAEL) is principally involved in agro-processing and has focus on exports and indigenous market, catering to food, pharmaceutical & feed industry, competing in the domestic and global market. The Mission: We render Ingredients to various Food, Pharma and Animal Nutrition Industries Globally. By persistent adaptation of contemporary technology and International Quality Standards we are focused on Nurturing and sustainably strengthening the entire Ingredients Supply Chain in a secured and Responsible manner. At Gujarat Ambuja Exports Limited, Quality is a state of mind.",1991,"Ahmedabad, Gujarat, India",B2B,Public,3.7,Corporate
,,Wipro Infotech Limited,,,,,,4.1,
,,Tata Toyo Radiator,"Tata AutoComp Systems (TACO) provides products and services in the automotive industry to Indian and global customers, including Audi, Ashok Leyland, BMW, Fiat, Ford, General Motors, Honda, Hyundai, John Deere, Mahindra and Mahindra, Mercedes-Benz, Piaggio, Tata Motors, Toyota, Volkswagen and Volvo as well as many Tier I companies. Tata AutoComp operates through offices in India, Germany, China, Japan and US. The company also has 10 Global Partnership and 7 Joint Ventures with leading companies from the global auto component industry.",1998,"Pune, Maharashtra, India",B2B,,3.9,Corporate
,,Krbl,"KRBL, currently among India’s largest integrated rice companies, began its journey way back in 1889 as a producer of agricultural commodities such as wheat, cotton and oil in Lyallpur, Faisalabad, in Pakistan. Post partition, the next generation started business of grains and trading in India starting from Punjab and then moving to the national trading hub of Delhi. Over the years, the Company has evolved into a global leader in Basmati Rice, while also being a major producer of non-basmati rice and milling by products like bran oil, furfural, rice-bran, and de-oiled cakes.",1889,"Noida, Uttar Pradesh, India",B2C,Public,4.0,Corporate
,,Fcm Travel Solutions,"FCM Travel Solutions India a global travel management provider spanning over 90 countries worldwide. We are committed to generating better travel ideas that will lead to greater savings for your business.Winner of the World's Leading Travel Management Company Award at the WTM for nine consecutive years (2019-2011), FCM is constantly transforming the business of travel through its empowered and accountable people who deliver 24/7 service and are available online and offline.",1986,,B2B,Private,3.6,Foreign Mnc
,,Ascent Business Solutions,"Rising cost of healthcare, increased adoption of technology, prevalence of quality- and performance-based reimbursement models, evolving physician-hospital -patient dynamics are forcing the healthcare industry to recast business and care delivery processes. Ascent’s Healthcare Business Process Outsourcing and Technology solutions help healthcare companies improve their revenue, cash, costs, margins, speed, and customer relationships. Our deep domain expertise, global delivery network and strong focus on operational excellence allow healthcare companies to focus on their core business while Ascent optimally delivers their business processes. As a preferred healthcare BPO provider, Ascent combines industry best practices and innovative tools and methodologies to improve patient satisfaction, reduce operational costs while streamlining processes through continuous improvements and technology optimization.",2001,,Service,Private,3.4,Corporate
,,Rosmerta Technologies,,2006,"Gurgaon, India",B2B,Private,3.4,Corporate
,Dhanush Italiya,Wintax Solution,"Wintax Solution is the pioneer of organised recruitment services in India. Over the years, we have acted as preferred talent acquisition partner to multinationals and leading Indian businesses to emerge as the leading recruitment brand nationally.",2018,"Surat, Gujarat, India",Service,Partnership,4.8,Corporate
,,Runwal Group,"The Mumbai based Runwal Group was established in 1978. Four decades later, the group has a huge portfolio that comprises of over 65 projects and millions of square feet. The group has brought smiles to more than 25,000 happy families across all corners of Mumbai. Apart from residential projects, the group is also a pioneer in the mall development and is well known for its iconic projects – R City and R Mall in Mumbai.The latest in its repertoire of superlative residences are three premium lifestyle projects -- Runwal Greens, Runwal Bliss, Runwal Forests & Runwal Pinnacle located in the central suburbs of Mumbai and Runwal Gardens in Dombivli. Each project is spread across a large expanse with huge open green spaces and premium amenities, fulfilling the dream of every home-buyer to live in the lap of nature away from hustle and bustle even while being in the city.",1978,"Mumbai, Maharashtra, India",B2C,,3.9,Corporate
,,Paper Boat,"Hello! We are Hector Beverages. With a ladleful of passion, tempered with honesty, an ounce of creativity & a generous sprinkle of excitement, we started off in 2009. We bring quality drinks, which quench thirst & make taste buds go ‘slurppp’. What we also promise with all our drinks is a magic power. Like Tzinga, our flagship energy drink that students and all-nighter urban animals swore by; Or Paper Boat, which brings a sunny smile and innocent memories, as you sip through these treasured recipes. Any drink can be made to taste good. Or feel nutritious. But how many drinks tell a story? Because when companies get together and dole out a drink to the parched populace, it’s practicality. But when history and geography conspire to make a drink favoured through the ages, that’s destiny.",2013,,B2C,,3.9,Corporate
,,Corporate Infotech,"Corporate Infotech Pvt. Ltd. aka CIPL, a company that is into the business of Information Technology, which gets driven with the passion, the tools, the infrastructure, and the vision To provide “one-stop technology destination” for customers across all verticals and To help customers achieve their objectives by providing innovative, best-in-class consulting, IT solutions and services in the most effective & profitable manner. 

CIPL has been able to achieve the coveted position as one of the largest solution providers and fastest-growing companies in India by creating a strong portfolio of products & services during its journey of 10 years of patent leadership.
Committed to continuous improvement and closing the capability gap, CIPL has
been appraised at level 3 of the CMMI Institute’s Capability Maturity Model Integration!

Maturity Level 3 (Defined): Our organization's processes are well characterized and understood, and are described in standards, procedures, tools, and methods.",2007,"Noida, Uttar Pradesh, India",Service,Private,3.7,Corporate
,,Bonace Engineers,"Human connections are the heartbeat of Bonace. We, at Bonace focus on the balance between relationships and transactions in ways that deepen both. We are aware that true connections are not made just out of data or codes or alogorithims - they require human environment, emotional intelligence. Our core valus of Knowledge, Trust & Excellence have helped us forge strong and healthy business relations with our clients and candidates.",1995,"Mumbai, Maharashtra, India",B2C,Private,4.0,Corporate
,,Apex Laboratories,"apex is a branded formulations player who poineered the introduction of Zinc in the pharmaceutical formulations in India. 

Started in 1978, apex laboratories has been under the able leadership of Mr.S.S.Vanangamudi who is heading the company as the Chairman & Managing Director.

The company is a pioneer in the introduction of Zinc based formulations in India and continues to be the brand leader in the Multivitamin Mineral Supplements segment. The company's growth is powered by its focus on manufacture and supply of quality products, formidable sales & marketing strength, 100% ethical marketing, growing market acceptance of the products and continued patronage by the medical fraternity.

With humble beginnings and 4 decades of growth history, the company today boasts of a formidable people strength of over 2100, strong manufacturing capability with continuous technology improvement, all-India market presence in branded formulations, excellent distribution network, and successful foray into herbal products. The company is ranked among the top 50 fastest growing pharmaceutical companies in India by ORG-IMS.

With a range of products in various segments, apex is proud of quite a few brand leaders in India, The company has recorded stable growth over the years and has registered steep growth in the last 10 years. The current business size is INR 500 crores (USD 75 million) and the company aims to achieve INR 750 crores (USD 100 million) by 2020, by leveraging our manufacturing strength, increased presence in overseas markets including regulated markets countries, new product launches and focus on R & D for developing innovative products to the global market.",1978,"Chennai, India",Service,Private,4.1,Foreign Mnc
,,Bombardier Transportation,"With over 68,000 employees, Bombardier is a global leader in the transportation industry, creating innovative and game-changing planes and trains. Our products and services provide world-class transportation experiences that set new standards in passenger comfort, energy efficiency, reliability and safety.
Headquartered in Montreal, Canada, Bombardier has production and engineering sites in 28 countries across the segments of Transportation, Business Aircraft, Commercial Aircraft and Aerostructures and Engineering Services. Bombardier shares are traded on the Toronto Stock Exchange (BBD). In the fiscal year ended December 31, 2018, Bombardier posted revenues of $16.2 billion US. The company is recognized on the 2019 Global 100 Most Sustainable Corporations in the World Index.",1995,,B2B,Private,4.2,Foreign Mnc
,,Fossil Group,"Over thirty years ago, we were known as the small watch company that put their watches in colorful, expressive tins. While we still keep that tradition alive, we've grown to become so much more. Fossil Group Inc. is now a global design, marketing, distribution and innovation company specializing in a variety of lifestyle accessories. Under a diverse portfolio of owned and licensed brands, we make fashion watches, jewelry, handbags, small leather goods and wearables. We are committed to delivering the best in design and innovation across our owned brands, Fossil, Michele, Misfit, Relic, Skagen and Zodiac, and licensed brands Armani Exchange, BMW, Chaps, Diesel, DKNY, Emporio Armani, kate spade new york, Marc Jacobs, Michael Kors, Puma and Tory Burch. From concept to consumer, we bring each brand story to life through an authentic approach to design and an extensive distribution network across numerous geographies, categories and channels.",1984,,B2B,Private,3.8,Foreign Mnc
,,Win Medicare,"What began as a vision of healthcare business in early 1980's, Win-Medicare today is amongst the fastest growing pharmaceutical companies in India and is considered the undisputed leader in select segment. In a country with a highly fragmented pharma market, Win-Medicare enjoys a respectable share. Win-Medicare began its business with a number of pioneering concepts and products from Sterling Drug Inc., USA and concertedly worked towards making them established contemporary medical practice.In the late-eighties, Win-Medicare took a quantum leap and tied up with Mundipharma Group of Companies, a pharmaceutical giant from Switzerland.Mundipharma AG, Switzerland and its R&D and manufacturing affiliates, Napp Pharmaceutical Group, UK and the Purdue Frederick Co., USA are renowned for their novel formulation expertise, state-of-the-art production and quality assurance facilities.Win-Medicare Pvt. Ltd. (Modipuram)The biggest gain from this venture is the topical microbicide Betadine®. In 75 countries, Betadine® is trusted for its uncompromising antiseptic efficacy.Win-Medicare has in-licensing arrangements with several reputed global organizations, with Merz Asia Pacific Pvt. Ltd., Singapore for marketing their hepato-therapecutics range – HepaMerz® and other pharmaceutical products like Contractubex®, a therapy for scar management.Win-Medicare has also entered into new in licensing/distribution agreements with Pierre Fabre (France) for Oral Care Products, Sigma Tau (Italy) for CarnitorTM, Norgine (Netherlands) for Moviol® and Moviprep®, LG Life Sciences for Corion® C (hCG).Sourcing technologies, pharmaceutical and healthcare products as well as Research and Development from USA, Germany and Switzerland, Win-Medicare has grown from strength to strength while pursuing its mission of fulfilling the healthcare needs of the country.Win-Medicare began its business with a number of pioneering concepts and products from Sterling Drug Inc., USA and concertedly worked towards making them established contemporary medical practice.In the late-eighties, Win-Medicare took a quantum leap and tied up with Mundipharma Group of Companies, a pharmaceutical giant from Switzerland.Mundipharma AG, Switzerland and its R&D and manufacturing affiliates, Napp Pharmaceutical Group, UK and the Purdue Frederick Co., USA are renowned for their novel formulation expertise, state-of-the-art production and quality assurance facilities.",2005,,B2B,Private,4.1,Corporate
1294223050,,Cmr Green Technologies,"Century Metal Recycling (CMR), is India’s largest producer of Aluminium and Zinc die-casting alloys with a combined annual capacity of over approx 300,000 MT. Since its inception, it has maintained its fast-paced growth by leveraging the latest technology and continuous improvement.

CMR commenced its business in 2006, when it put up a state-of-the-art technology plant at Tatarpur, near New Delhi. The plant deployed sophisticated technologies such as twin-shaft shredder, eddy current separator, high-capacity melting furnaces with metal circulation pump, de-coater, etc. CMR Group is presently operating through ten manufacturing plants including 4 plants under two Joint Ventures with renowned Japanese companies, Toyota Tsusho Corporation and Nikkei MC Aluminium. Recently, CMR has also put up 11th manufacturing plant under 50-50 joint venture with Chiho Environmental Group Limited to engage in the collection, segregation processing, recycling and treatment of all types of secondary metal raw material.",2006,"Faridabad, Haryana, India",B2B,Public,3.8,Corporate
,,Hanon Systems,"Hanon Systems is a full-line supplier of automotive thermal and energy management solutions. Products include heating ventilation and air conditioning; powertrain cooling; compressors; fluid transport; and thermal and emissions solutions for conventional and electric, hybrid, fuel cell and autonomous vehicles. The company currently employs more than 22,000 people across 21 countries at its 51 manufacturing and 23 engineering sites.",1986,,B2B,Private,4.3,Foreign Mnc
,Hock Tan,Broadcom,"Broadcom Inc. is a global infrastructure technology leader built on 50 years of innovation, collaboration and engineering excellence.

With roots based in the rich technical heritage of AT&T/Bell Labs, Lucent and Hewlett-Packard/Agilent, Broadcom focuses on technologies that connect our world. Through the combination of industry leaders Broadcom, LSI, Broadcom Corporation, Brocade, CA Technologies and Symantec, the company has the size, scope and engineering talent to lead the industry into the future..

Broadcom is focused on technology leadership and category-leading semiconductor and infrastructure software solutions. The company is a global leader in numerous product segments serving the world’s most successful companies.
 
Broadcom Inc. combines global scale, engineering depth, broad product portfolio diversity, superior execution and operational focus to deliver category-leading semiconductor and infrastructure software solutions so its customers can build and grow successful businesses in a constantly changing environment.",1976,,Product,Private,3.4,Foreign Mnc
,Randeep Jauhar,Jamna Auto Industries,"JAI is an Indian multinational suspension system Automotive company headquartered in Delhi, India. It is the largest automotive suspension spring manufacturer in India and amongst top three in the World.",1954,"Yamunanagar, Haryana, India",B2B,Public,3.7,Indian Mnc
,,Grass Roots Research & Creation,,,,,,4.8,
,,"Ministry Of Health, New Delhi",The Ministry of Health and Family Welfare is an Indian government ministry charged with health policy in India. It is also responsible for all government programs relating to family planning in India. The Minister of Health and Family Welfare holds cabinet rank as a member of the Council of Ministers.,1976,,B2C,Public,4.4,
8069510510,Raghuram Talluri,Loadshare Networks,,2017,,B2B,Private,3.5,Startup
,,Smec,"SMEC is a global engineering, management and development consultancy delivering technical excellence and sustainable solutions to our clients, partners and communities. SMEC has a long and proud history which dates back to Australia’s iconic Snowy Mountains Hydroelectric Scheme in 1949, one of the largest and most complex hydroelectric schemes in the world. Since our inception, SMEC has been delivering world-class innovative solutions on a global scale across urban development, infrastructure and management services industries. In 2016 SMEC joined the Surbana Jurong Group, one of the largest Asia-based urban and infrastructure consultancies. Our partnership has created a talent pool of 16,000 professionals working across 120 offices in more than 40 countries throughout Asia, Australasia, Africa, the UK, Middle East and the Americas. Working alongside our parent and sister companies, we constantly strive to redefine our standards of excellence. Our projects help to generate economic growth and provide essential infrastructure services in some of the world’s fastest growing economies. For the latest news, visit our newsroom www.smec.com/newsroom or read about the innovations and solutions shaping our communities on our Infocus blog www.smec.com/infocus. At SMEC, our global workforce is made up of experts who bring unique talent, experience and passion to their fields. We offer a rewarding career path for enthusiastic and collaborative achievers who are motivated to make a difference. For more information or to view current vacancies visit www.smec.com/careers.",1970,,B2B,Private,4.0,Foreign Mnc
,,Danske It,"Danske IT was established in India in 2012 as a fully-owned subsidiary of Danske Bank group – one of the largest Nordic banks with a universal presence. We deliver smart solutions, thereby creating great value for Danske Bank as well as all it's customers. At Danske IT, we also are devoted to helping Danske Bank realise its vision of being the most trusted financial partner. Ambition is something we share; with our customers, our employees and the communities around us. 

Our technologies simplify IT complexity and streamline operations, helping Danske Bank businesses become more agile, efficient and profitable. Working on technology solutions for all areas of the bank including personal, business and institutional customers, we strive to deliver results that make a difference to its end users.",2012,"Bangalore/Bengaluru, Karnataka, India",Service,Private,3.5,Corporate
,,Bajaj Consumer Care,"Bajaj Consumer Care Ltd is part of Bajaj Group which has interests in varied industries including Sugar, Consumer Goods, Power Generation and Infrastructure Development.

Bajaj Consumer Care is the second largest company in the Shishir Bajaj Group of companies. The history of Bajaj Consumer Care dates back to 1953 when Mr. Kamalnayan Bajaj established Bajaj Sevashram to market and sell hair oils and other beauty products.

Bajaj Consumer Care Ltd. is one of the leading player in Hair oil category with brands like Bajaj Almond Drops Hair oil, Bajaj Brahmi Amla Hair Oil, Bajaj Amla Hair oil and Bajaj Jasmine Hair oil. Our flagship Brand Bajaj Almond Drops Hair oil is the No. 1* hair oil in Indian market with Premium positioning and commands one of the highest per unit price in the industry.

It is 897 Crore company and has grown at a very healthy rate over the years. Our growth rate in terms of CAGR and absolute exceeds the category that we operate in, as well as the Industry standards. We have over 454 employees spread across pan India with majority concentration in the Sales and Marketing Function.

The BCCL structure lays great emphasis on people development. We provide our people the opportunity to advance and learn new businesses / processes / skills. Bajaj Consumer Care manufactures and markets other major brands i.e Bajaj Brahmi Amla, Bajaj Amla Shikakai and Bajaj Jasmine Hair Oil and also markets oral care products under the brand name Bajaj Red/Kala Dant Manjan.

The company had acquired the Nomarks Brand, in line with the Vision of the Organization. With this acquisition, we have also ventured in to the 9000 cr Skin Care Category.

At Bajaj Consumer Care, our established distribution network will provide the required strength for future growth in existing as well as new products.
This is supported by the strong brand recall of ‘Bajaj’ both in the rural and urban markets. This also takes into consideration strong management, its experience in the FMCG industry and strong promoter background.

We have also been able to identify our consumer profiles (urban and rural) and continue to improvise our distribution systems in order to have greater reach and vialibility.",1930,"Mumbai, Maharashtra, India",B2C,Public,3.9,Corporate
,,L. N. Malviya Infra Projects Group,L. N. Malviya Infra Projects Group Pvt. Ltd. Bhopal comprising a cluster of five wholly owned subsidiary constituted as a civil engineering multi-disciplined consultancy organization with the aim of participating in the infrastructure development of the Nation by providing professional engineering consultancy services.,2010,"Bhopal, Madhya Pradesh, India",B2B,Private,3.5,Corporate
,,Tata Steel Utilities And Infrastructure Services,,,,,,3.7,
,,V-Xpress,"V-Xpress is India’s premier, dependable expert logistic service provider for many industries. Grow your business for our nationwide network, On Time delivery commitments, 0% pilferage and shortage, and real-time tracking facilities.",2002,"Chembur, Maharashtra, India",B2B,Private,4.0,Corporate
,,Titan Engineering & Automation,"Titan Engineering & Automation Limited (TEAL), formerly known as the TITAN-Precision Engineering division (PED) is a wholly-owned subsidiary of Titan Company Limited. The team now boasts of a full-fledged machine building and automation and component manufacturing businesses catering to the global markets.

Titan Engineering & Automation Limited Specializes in Manufacturing Aerospace Components and Providing Assembly & Testing Automation Solutions",1994,"Hosur, India",,Private,4.1,
,,Jeeves Consumer Services,"Jeeves Consumer Services Pvt. Ltd is your one stop service point for all electronics, electrical and IT products. Since 2007, a passion for helping households deal with their electronics and appliances related problems by offering cost effective, reliable and quick solutions makes Jeeves the preferred trouble shooting partner for over 3 million homes. A presence in over 300 cities ensures that Jeeves is close to you no matter which city in India you are based out of or travelling to.
Be it Mumbai or Rampur, Jeeves has a local service hub where you can easily service your DVD player, TV, washing machine, food processor or laptop in a hassle free manner. Jeeves can help you install, optimize performance, shift or fix any product of any brand or age.
Our passion for consumer service has seen us in long-term partnerships with Indias biggest retail chains and corporate like the Future Group, Vu, Kodak, Thomson and a bevy of leading consumer durables brands.
Customers trust Jeeves because of its policy of only using genuine spares & accessories; because Jeeves service personnel are highly skilled and well trained; because Jeeves can help fix any product at home of any brand; because they do not have to depend on the unreliable local repairman each time they have a problem.",2007,,B2C,Private,3.8,Corporate
9158221155,,Diffusion Engineers,"Diffusion Engineers Limited, an IMS certified Company, pioneered the concept of Superconditioning in India. The new-generation Superconditioning materials and techniques offered by the Company enormously enhance the life of worn-out equipment and components. Diffusion offers a wide range of Lo Temp and Anti-wear alloys to suit the reclamation needs of industries like cement, power, sugar, mining, railways, steel and shipping.

A team of competent engineers located at Chennai, Faridabad, Jamshedpur, Nagpur, Pune, Secunderabad and Vadodara formed the backbone of Diffusion products and reclamation services. Further, the company has established a nationwide network of distributors and dealers to address every customer’s need. Dealers & services are also available in South-East Asian countries, the Middle East and Africa.",1983,"Nagpur, Maharashtra, India",B2C,Private,4.3,Corporate
,,Abis Exports,"With a humble beginning in 1985 driven by ambition, IB Group has evolved into a diversified industry giant with presence in the poultry, FMCG, solvent, livestock feed, specialized pet food and hospitality segments. Headquartered at Rajnandgaon in the Chhattisgarh state, the company has focussed on research & development, advanced technologies and built a competent workforce to impart excellence in its business offerings. Undertaking a slew of socio-economic initiatives, the group has improved lives of rural poultry farmers and underprivileged children, women and youth.

We believe in providing the best protein nutrition to the society. We focus on producing protein centric products through proven scientific ways involving research & development and the best technology to impart best-in-class quality to our offerings.",1985,"Rajnandgaon, India",,Private,4.0,
,Anbu Jayabalan,Eversendai,"The history of Eversendai goes back to 1984 and after three decades of unparalleled experience, technical expertise and a strong network across various countries, Eversendai is recognised as a leading global organisation in undertaking turnkey contracts; delivering projects for high rise buildings, power plants, Oil & Gas upstream and downstream including process and industrial plants as well as infrastructure and composite structures in the Asian and Middle Eastern regions.We have a dedicated workforce of over 15,000 people and an impressive portfolio of more than 300 accomplished projects in over 14 different countries with 5 steel fabrication factories located in Malaysia, Dubai, Sharjah, Qatar and India, with an annual capacity of 150,000 tonnes. With our state-of-the-art steel fabrication factories, we have constructed some of the world’s most iconic landmark structures. These include the Burj Khalifa in Dubai, Petronas Tower 2 in Malaysia, Khalifa Olympic Stadium in Qatar, Kingdom Centre in Saudi Arabia and Republic Plaza in Singapore.",1984,,B2B,Private,4.0,Foreign Mnc
,,Mobile Programming,"Mobile programming LLC was started with the mission to provide “Economic as well as Efficient” software solutions. We firmly believe in the credibility and scalability of Digital Transformation. Our services are focused on Mobility Solutions, Custom App Development, Cloud Solutions, IoT, AR/VR, Blockchain, Artificial Intelligence & Machine Learning, Predictive Analytics & Big Data Solutions, and several other trending as well as emerging technologies. At its core, Mobile programming is all about developing solutions which help clients accelerate their business processes, achieve optimum productivity, and mitigate risks.",2001,,Service,Llc,2.9,Foreign Mnc
,,Jubilant Ingrevia,,2020,,,,3.9,
,,Harjai Computers,"Our name sums us up best. Etymologically, Harjai means Omnipresence. We at Harjai, aim at providing high quality work in our area of expertise, everywhere and every time. Incorporated in 1995, Harjai Group has grown into providing Software Solutions, IT Staffing, Recruitment, US Recruitment, Outsourcing and International Education Counseling services. We believe that services is all about people. No wonder then, that we place a high degree of importance on relationships. This is reflected in the way we respond to our customers and interact with our employees.",1995,"Mumbai, Maharashtra, India",Service,Private,3.8,Corporate
,,Uniparts Group,"UNIPARTS Group is a leading international manufacturer of components, assemblies and hydraulic systems for agricultural and construction equipment.

Our customers include the leading OEM manufactures and since start of operation in 1984 the group has grown to a global and leading manufacturer of 3-point linkage systems and precision machined components and is operating out of 8 locations - 5 in India, 2 in USA and 1 in Germany.",1984,"Noida, Uttar Pradesh, India",B2B,Private,4.2,Corporate
,,Grey Orange,"GreyOrange is a global company that modernizes order fulfillment through Artificial Intelligence-driven software and AI-driven mobile robots built together so they cooperate in deciding on and executing warehouse activities that maximize payoffs and minimize tradeoffs to create the highest yield. The company’s Always-Solving™ fulfillment operating system GreyMatter ™ considers predictive and real-time data regarding orders, promises, inventory, shipping windows, and resources to orchestrate how workers and the Company’s Ranger™ series of robots work together across a warehouse to keep Inventory in Motion ™ and accelerate fulfilling the right orders at the right time. GreyOrange experts help organizations master fulfillment in the Age of Immediacy so they keep promises, capture more revenue, save money on fulfillment and improve the work experience for warehouse employees. GreyOrange has core operations in the United States, Singapore, Germany, Japan, and India.",2011,,Service,Private,3.2,Foreign Mnc
,,Learningmate Solutions,"LearningMate is a technology company offering domain expertise in teaching and learning solutions - leveraging digital, cloud, process automation, data, and strong learning design principles.",2001,,Product,Private,3.7,Foreign Mnc
,,World Vision,"As a global Christian relief, development and advocacy organisation we help children, families and communities overcome poverty and injustice, irrespective of religion, race, ethnicity or gender.",1950,,B2C,Private,4.4,Foreign Mnc
,,Indiabulls Pharmaceuticals,"Indiabulls Pharmaceuticals Ltd. was incorporated in July 2016 with an ambition to become a leading provider of healthcare products and services in India and beyond. The Indian healthcare sector is poised for significant growth in the coming decade driven by rising incomes, enhanced medical infrastructure, rise in the prevalence and treatment of chronic diseases and greater health insurance. Specifically, the Indian pharmaceutical market is projected to grow to USD 55 billion by 20201 from a current estimated size of USD 27 billion and this will take the Indian pharmaceutical market in the top 5 global market both in terms of volume and value. The secular growth of the industry is further bolstered by the commitment of the Indian government to increase access for patients and provide benefits for investments in manufacturing and research and development for the manufacturers.",2016,,B2C,Private,2.6,
,Abrarali Dalal,Sahyadri Hospital,"Sahyadri Hospitals is the largest chain of hospitals in Maharashtra operating on the philosophy to make quality healthcare Available, Accessible & Accountable. Sahyadri Hospitals has grown to 9 hospitals, 1000+ beds, over 2000 clinicians, 2600 supporting staff and over 50 Lacs lives touched.",2004,"Pune, Maharashtra, India",B2C,Private,4.2,Corporate
,,Vatika Group,"Vatika believes in delivering value to all our stakeholders by creating products and services that enhance the value of life.
While real estate is our business, we consider ourselves a service industry… and our service is to design for life – your life. We aim to create spaces that enable you to focus on the things you consider important – whether it is building a business, growing a family, connecting with friends, or simply finding the time and space to pursue your dreams.
Our vision is to create homes, schools, hotels, restaurants, retail spaces, commercial spaces and business centres that uphold unparalleled quality and reflect timelessness.",1986,"Gurgaon, India",B2C,Private,4.1,
,,Wow Momo Foods,"Wow! Momo - A brief Wow! Momo is a young & vibrant brand started by 2 young Entrepreneurs from Kolkata at the age of 21, eight years ago. They have literally played with momos to have grown rapidly to become the country's largest chain of momos in terms of volumes, turnovers & Innovations. Their Menu caters to 12 different flavors of momos available in Steamed, Fried & Pan Fried formats largely in white & brown flour variants. They have smartly Innovated & Invented to create Sizzler Momos, MoBurg (Momo Burgers), Tandoori Momos, & a Baked Momo Au'gratin to their credit. To top it all, even their dessert is a 'Chocolate momo. They have not only been trend setters in the momo markets but have actually created a new line into the fast growing Quick Service Restaurant Industry. Moreover, they've successfully built an Indian food brand which dreams of going abroad soon. Wow Momo’s Magic Recipe: - The Idea & its Effective execution! – India’s 1st major chain of Branded Momos. – Started with an Initial Investment of Rs.30,000 with one Kiosk in Kolkata - 2008. – In 8 years : 90 outlets – Kolkata + Delhi + Gurgaon + Noida + Bangalore + Pune + Chennai & Kochi • Their successful business model is a case study for various Multi National Organisations & Business Schools. The format operates out of Kiosks, Food Court Quick Service Outlets, Shop – in Shop Models, and High Street Quick Service Restaurants. The stores are largely Company owned & Company Operated. The brand has managed to build a 'kick ass'​ team who have not only ensured rapid growth but also been able to achieve their profitability targets by successfully serving & satisfying repeated regular customers & patrons across the country.",2008,"Kolkata, West Bengal, India",B2C,Private,3.7,Corporate
,,Mas Callnet,Mas Callnet India Pvt. Ltd. Is India’s only Integrated customer experience Design enabled BPO. End to End Customer Life-cycle Management is our forte. The only ITES provider which has a unique 360 degree performance approach.,1990,"Noida, Uttar Pradesh, India",B2C,Private,3.9,Corporate
